Estado,i,f,e,l,s,w,h,T,R,U,E,F,A,L,S,M,X,+,-,*,/,%,),(,n,t,g,r,a,b,o,u,{,},=,!,>,<,;,&,|,c,d,j,k,m,p,q,v,x,y,z,0,1,2,3,4,5,6,7,8,9
53,2,2,60,2,2,2,2,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,2,2,2,2,2,2,2,2,69,69,69,69,69,69,69,69,69,2,2,2,2,2,2,2,2,2,2,2,69,69,69,69,69,69,69,69,69,69,69
54,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69
55,69,69,69,69,69,69,69,69,69,69,61,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69
56,2,2,2,2,2,2,2,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,2,2,2,62,2,2,2,2,69,69,69,69,69,69,69,69,69,2,2,2,2,2,2,2,2,2,2,2,69,69,69,69,69,69,69,69,69,69,69
57,2,2,2,2,2,2,2,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,2,2,2,2,2,2,2,2,69,69,69,69,69,69,69,69,69,2,2,2,2,2,2,2,2,2,2,2,69,69,69,69,69,69,69,69,69,69,69
58,2,2,63,2,2,2,2,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,2,2,2,2,2,2,2,2,69,69,69,69,69,69,69,69,69,2,2,2,2,2,2,2,2,2,2,2,69,69,69,69,69,69,69,69,69,69,69
59,2,2,64,2,2,2,2,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,2,2,2,2,2,2,2,2,69,69,69,69,69,69,69,69,69,2,2,2,2,2,2,2,2,2,2,2,69,69,69,69,69,69,69,69,69,69,69
60,2,2,2,2,2,2,2,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,2,2,2,2,2,2,2,2,69,69,69,69,69,69,69,69,69,2,2,2,2,2,2,2,2,2,2,2,69,69,69,69,69,69,69,69,69,69,69
61,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69
62,2,2,2,2,2,2,2,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,65,2,2,2,2,2,2,2,69,69,69,69,69,69,69,69,69,2,2,2,2,2,2,2,2,2,2,2,69,69,69,69,69,69,69,69,69,69,69
63,2,2,2,2,2,2,2,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,2,2,2,2,66,2,2,2,69,69,69,69,69,69,69,69,69,2,2,2,2,2,2,2,2,2,2,2,69,69,69,69,69,69,69,69,69,69,69
64,2,2,2,2,2,2,2,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,2,2,2,67,2,2,2,2,69,69,69,69,69,69,69,69,69,2,2,2,2,2,2,2,2,2,2,2,69,69,69,69,69,69,69,69,69,69,69
65,2,2,2,2,2,2,2,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,2,2,2,2,2,2,2,2,69,69,69,69,69,69,69,69,69,2,2,2,2,2,2,2,2,2,2,2,69,69,69,69,69,69,69,69,69,69,69
66,2,2,2,2,2,2,2,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,68,2,2,2,2,2,2,2,69,69,69,69,69,69,69,69,69,2,2,2,2,2,2,2,2,2,2,2,69,69,69,69,69,69,69,69,69,69,69
67,2,2,2,2,2,2,2,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,2,2,2,2,2,2,2,2,69,69,69,69,69,69,69,69,69,2,2,2,2,2,2,2,2,2,2,2,69,69,69,69,69,69,69,69,69,69,69
68,2,2,2,2,2,2,2,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,2,2,2,2,2,2,2,2,69,69,69,69,69,69,69,69,69,2,2,2,2,2,2,2,2,2,2,2,69,69,69,69,69,69,69,69,69,69,69
69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69
